,0,1
0,minify_total,-1.0
1,responses_200,186.0
2,testStartOffset,0.0
3,bytesOut,141478.0
4,gzip_savings,1695.0
5,requestsFull,221.0
6,start_epoch,0.0
7,connections,52.0
8,bytesOutDoc,138016.0
9,result,0.0
10,score_cookies,-1.0
11,basePageSSLTime,79.0
12,docTime,13059.0
13,domContentLoadedEventEnd,2235.0
14,image_savings,1045353.0
15,requestsDoc,215.0
16,firstMeaningfulPaint,2296.0
17,firstTextPaint,1357.0
18,firstPaint,1355.7000000001
19,score_cdn,99.0
20,optimization_checked,1.0
21,image_total,5797835.0
22,score_minify,-1.0
23,gzip_total,6206218.0
24,responses_404,0.0
25,loadTime,13059.0
26,score_combine,-1.0
27,firstContentfulPaint,1357.0
28,firstLayout,986.0
29,score_etags,-1.0
30,loadEventStart,13059.0
31,minify_savings,-1.0
32,score_progressive_jpeg,3.0
33,domInteractive,2224.0
34,score_gzip,100.0
35,score_compress,82.0
36,domContentLoadedEventStart,2224.0
37,bytesInDoc,6798581.0
38,firstImagePaint,1494.0
39,score_keep-alive,100.0
40,loadEventEnd,13060.0
41,cached,0.0
42,score_cache,64.0
43,responses_other,35.0
44,fullyLoaded,13637.0
45,requests,221.0
46,final_base_page_request,0.0
47,TTFB,213.0
48,bytesIn,6800689.0
49,test_run_time_ms,21907.0
50,fullyLoadedCPUms,12969.0
51,PerformancePaintTiming.first-contentful-paint,1355.7000000001
52,date,1539189285.6112
53,PerformancePaintTiming.first-paint,1355.7000000001
54,domElements,1452.0
55,fullyLoadedCPUpct,42.2338000651
56,domComplete,13058.0
57,Colordepth,24.0
58,SpeedIndex,3346.0
59,visualComplete85,2300.0
60,visualComplete90,10100.0
61,visualComplete95,10200.0
62,visualComplete99,10300.0
63,visualComplete,10300.0
64,render,1400.0
65,lastVisualChange,10300.0
66,chromeUserTiming.fetchStart,8.0
67,chromeUserTiming.unloadEventStart,219.0
68,chromeUserTiming.unloadEventEnd,219.0
69,chromeUserTiming.domLoading,224.0
70,chromeUserTiming.responseEnd,231.0
71,chromeUserTiming.firstLayout,985.0
72,chromeUserTiming.firstContentfulPaint,1356.0
73,chromeUserTiming.firstTextPaint,1356.0
74,chromeUserTiming.firstMeaningfulPaintCandidate,2295.0
75,chromeUserTiming.firstPaint,1356.0
76,chromeUserTiming.firstImagePaint,1493.0
77,chromeUserTiming.domInteractive,2224.0
78,chromeUserTiming.domContentLoadedEventStart,2224.0
79,chromeUserTiming.domContentLoadedEventEnd,2235.0
80,chromeUserTiming.firstMeaningfulPaint,2295.0
81,chromeUserTiming.domComplete,13058.0
82,chromeUserTiming.loadEventStart,13059.0
83,chromeUserTiming.loadEventEnd,13060.0
84,run,1.0
85,step,1.0
86,effectiveBps,506606.0
87,effectiveBpsDoc,529237.0
88,domTime,0.0
89,aft,0.0
90,titleTime,0.0
91,domLoading,0.0
92,server_rtt,0.0
93,smallImageCount,29.0
94,bigImageCount,14.0
95,maybeCaptcha,0.0
96,avgRun,1.0
